Pathway	105-BS	A479-R	A479-RS	B065S-R	B065S-RS	B067H-R	B067H-RS	B074S-R	B074S-RS	B076BH-R	B076BH-RS	B118H-R	B118H-RS	B124H-R	B124H-RS	B456-R	B456-RS	GY-R	GY-RS	H424-R	H424-RS	HB-R	HB-RS	K474-R	K474-RS	NHB-R	NHB-RS	XM-BS	ZJ-BS
Glycosylphosphatidylinositol (GPI)-anchored protein	42501.1	45918.79	38476.11	12141.44	37396.22	9909.15	45812.23	30048.71	47655.34	9503.24	27836.87	10742.5	32239.6	15157.71	44815.67	73895.24	64082.99	36882.25	45586.32	32753.98	59782.13	36928.53	60814.21	17478.19	36660.86	31847.74	51020.7	32090.07	50676.67
Glycosyltransferase	553251.78	592136.12	479672.83	477358.04	410783.42	369287.79	584687.58	333816.25	558035.36	295658.45	402780.2	273181.66	475750.12	447051.58	460670.39	472303.01	475007.38	448945.61	563947.11	396326.25	531004.03	391621.24	493095.79	320642.55	377984.2	517715.97	529199.61	428095.29	368121.38
Glyoxylate and dicarboxylate metabolism 	2026639.61	2090340.44	1672476.35	1539648.93	1152345.95	1391079.6	2111102.84	913150.23	1714443.56	1235855.53	1337854.54	942883.98	1324567.86	1476994.61	1310126.59	1821373.09	1721419.75	1655816.75	1763092.13	1430636.25	1866142.83	1353644.97	1097522.66	1099777.38	1405806.21	1853168.67	1794419.37	1579893.42	1280885.14
GnRH signaling pathway 	10.2	271.5	498.1	221	111	45	0	64.5	285	0	58	0	667.5	38	219	712.5	561.33	648.5	179	88.5	67	464	243	34	91	3936.5	15	197	24.5
Growth hormone synthesis	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIF-1 signaling pathway 	366398.44	233698.19	243423.8	191936.99	194664.96	144091.76	277539.38	111789.57	282775.51	116929.71	222062.78	98967.92	194520.14	175093.57	200211.03	224592.55	263725.04	260336.38	263743.05	281395.98	262546.93	168774.43	155969.17	188128.33	205738.27	295590.65	255678.95	298006.57	254160.04
Hematopoietic cell lineage 	2128	265	266.5	9292	0	0	2246	2014	2043	0	27	0	4049	54	52	39	19.5	2364	1296	13	1559	38	0	756.5	122	4279	78	353	70
Hepatitis B 	48071.34	77258.53	79133.58	24862.07	29602.22	20160.82	59188.32	20983.97	51768.85	21892.74	30578	15347.58	34168.19	19445.7	26341.74	89415.46	77849.18	61753.96	65325.24	32597.32	81778.53	65464.57	16236.42	28849.6	57170.76	50864.18	60027.57	34726.1	37571
Hepatitis C 	48071.34	77258.53	79133.58	24862.07	29602.22	20160.82	59188.32	20983.97	51681.85	21892.74	30578	15347.58	34168.19	19445.7	26341.74	89415.46	77849.18	61753.96	65325.24	32597.32	81778.53	65464.57	16246.92	28849.6	57170.76	50864.18	60027.57	34726.1	37571
Hepatocellular carcinoma 	161800.21	300616.78	213419.23	145584.49	138311.34	176580.16	259504.78	134944.61	198014.92	174968.84	133690.79	113469.98	138245.06	156446.65	182874.72	246050.12	235896.87	179284.14	215703.75	122778.07	239338.91	176059.51	173881.88	97098.21	174374.18	145954.13	214731.92	100224.94	178805.5
Herpes simplex virus 1 infection 	48671.01	77312.37	79202.58	24862.07	29620.22	20160.82	59225.99	20983.97	51716.85	21892.74	30642.5	15347.58	34180.86	19445.7	26358.74	89415.46	77900.68	61753.96	65346.24	32597.32	81803.53	65487.57	16384.42	29507.6	57311.76	50864.18	60096.57	35452.43	37672.67
Hippo signaling pathway - fly 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0
Hippo signaling pathway - multiple species 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0
Histidine metabolism 	928949.8	781868.49	680760.91	642719.23	543520	537106.04	900068.96	378594.76	749956.88	459337.22	614957.79	381984.88	591258.16	617938.79	612335.88	689881.44	721789.7	690188.7	734234.94	607689.79	735995.41	563438.15	475008.15	462178.77	564508.46	755963.99	783842.05	727434.59	552810.05
Homologous recombination 	1073367.88	906220.42	703684.53	651354.2	631006.57	515514.2	870620.49	418296.91	917437.76	466369.3	685924.75	351773.75	600316.28	565115.13	646997.78	660305.07	733417.64	724912.14	875294.89	521105.35	799858.83	562914.53	632019.34	617497.26	639982.47	862888.94	797141.99	861242.38	729068.73
Human T-cell leukemia virus 1 infection 	217	0	36.5	0	0	0	10	0	17	0	0	0	4	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0
Human cytomegalovirus infection 	51662.34	77268.53	79208.08	25179.07	29692.22	20160.82	59872.32	21219.97	52195.85	21892.74	30642	15347.58	43915.19	19563.7	26523.74	89444.46	82069.18	63912.96	66729.24	32597.32	83050.53	65819.57	16290.42	29469.6	57522.76	56066.18	60090.57	35066.1	37608
Human immunodeficiency virus 1 infection 	47958.34	77263.53	79097.08	25083.07	29692.22	20160.82	59178.32	20983.97	51664.85	21892.74	30615	15347.58	34164.19	19483.7	26523.74	89415.46	77907.18	62205.96	65272.24	32597.32	81778.53	65630.57	16236.42	28849.6	57170.76	54711.18	60027.57	34726.1	37571
Human papillomavirus infection 	60590.72	58566.73	37586.56	33415.33	33702.49	24962.15	50600.84	24259.82	48231.8	22605.24	36802.08	17066	40224.73	28043.54	33813.76	57983.75	42639.2	43088.34	53369.24	33772.15	40599.22	37716	39393.84	34820.99	34138.96	46023.35	40406.69	46072.63	36677.17
Huntington disease 	220300.63	323503.38	238165.39	165356.63	164358.4	157474.93	250923.69	115238.53	228782.79	153428.35	159713.71	110122.39	162357.92	155510.23	162886.8	257664.46	254396.3	219739.57	236682.13	136241.3	263457.81	208973.28	156116.17	165115.6	207414.46	194424.85	239548.41	159776.33	174072.67
Hypertrophic cardiomyopathy 	2704.75	2156.33	4194.25	633	2287.75	60	2940.25	64	2055.4	156	1445.5	50	1364.08	177	2441.75	12334.67	4904.25	3890	2563.67	1951.5	4754.92	1407.25	1387.5	3961.25	2643.5	1953.17	3149.58	2167	1879
IL-17 signaling pathway 	23639.31	34170.9	24265.3	25160.03	20831.98	21929.48	28754.17	16553.96	27603.5	20018.99	21698.7	15284.25	29461.22	23793.12	22501.87	30409.62	28960.75	28434.77	25526.71	29175.12	26589.06	15132.79	24022.54	24393.92	18323.23	22557.12	23197.86	13973.79	19997.17
Indole alkaloid biosynthesis 	2387.5	1739	11010.5	312	624	161	3025.34	65	3213	0	1094.5	4	476.67	330	432	2988	4327.83	2690	3218.33	2785.67	7676	393.67	484.43	2770.67	2190.64	4263.17	2056	8137.33	1232.67
Inflammatory mediator regulation of TRP channels 	0	10	0	221	90	0	0	0	0	0	37	0	0	38	182	0	58	452	0	0	0	166	0	0	0	3847	0	0	0
Influenza A 	48267.54	77268.53	79855.33	25040.57	29608.02	20160.82	59316.07	20983.97	51681.85	21892.74	30578	15347.58	34168.19	19445.7	26341.74	89420.66	77919.38	61785.76	65408.74	32597.32	82058.78	65761.37	16276.72	28929.6	57409.76	50888.18	60027.57	34870.35	37571
Inositol phosphate metabolism 	389735.71	245956.29	301701.44	230041.61	252776.2	202804.07	423422.15	193076.02	360459.5	187405.15	263046.88	137759.79	264068.91	215242.83	304654.36	271724.66	359580.37	315199.97	346788.98	360520.83	334012.09	275948.01	263905.31	176327.02	248187.9	292984.41	367792.82	254298.09	266351.03
Insect hormone biosynthesis 	152296.91	106469.4	123246.59	117233.87	80504.75	99200.93	183445.29	66255.86	109124.01	73775.92	99742.21	79953.74	116994.08	127246.74	103730.09	114212.7	143051.55	136567.13	117478.79	142598.51	140881.44	106356.89	55880.32	63260.98	100670.05	133487.46	147720.48	113202.38	67840.51
Insulin resistance 	149937.82	97876.25	110265.37	88225.01	89266.18	66283.97	139922.74	60732.96	117614.81	52561.98	98727.25	51067.67	101524.59	84349.58	94607.5	97158.93	108367.85	105713.06	118924.67	87665.12	119646.61	74986.16	71458.75	83129.89	86346.48	118843.76	130233.87	118611.77	89587.51
Insulin secretion 	499	0	0	0	23.67	0	39.33	0	39	0	0	0	0	0	14	0	55	0	0	0	6	1.67	0	21	314	0	13	108	0
Insulin signaling pathway 	84138.38	80799.74	63023.27	60882.25	62719.72	55074.3	106183.12	46494.59	78510.21	43624.48	69609.5	36807.17	65557.04	64344.58	71380.91	67006.65	68102.95	66269.29	85870.45	53516.02	79369.5	50646.37	62861.72	51068.24	54633.06	87782.31	80979.49	65926.65	44310.84
Ion channel	180	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	21	239	0	0	0	0
Isoflavonoid biosynthesis 	1508	732	3455.67	1269	1773.33	4.67	2501.33	130	490	0	736.67	0	1074	177	2127	99	403.77	710.44	780.67	87	362	238.33	373.4	144	1066.89	348	1754	698.67	678
Isoquinoline alkaloid biosynthesis 	103901.49	112699.52	105615.02	75696	67689.65	88628.24	85264.18	56500.76	92993.57	86642.67	71646.94	56760.91	73758.51	97733.99	76106.94	93430.44	115699.99	88535.29	100054.67	81583.86	110356.82	76725.83	85607.43	54577.1	66783.3	84918.98	92149.35	69931.56	54714.01
JAK-STAT signaling pathway 	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kaposi sarcoma-associated herpesvirus infection 	51827.34	77263.53	79244.58	25179.07	29692.22	20160.82	59882.32	21219.97	52710.85	22569.74	30615	15347.58	43919.19	19563.7	26523.74	89444.46	82152.18	63912.96	66946.24	32597.32	83050.53	65796.57	16516.42	28870.6	57522.76	56484.18	60027.57	34726.1	37571
Lectin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	125	0	0	0	0	9	0	0	0
Legionellosis 	317596.67	279005.51	298808.93	204666.97	167090.65	167440.11	250671.72	114736.51	269750.15	154912.25	181676.93	112958.91	195224.26	177857.48	159052.9	268574.16	313549.77	270344.47	288212.53	193691.93	330358.14	240331.89	140166.05	186192.84	230388.03	267605.6	282828.79	240157.66	197846.85
Leishmaniasis 	3921	0	147.5	96	0	0	704	236	548	0	0	0	9755	80	0	29	4162	1707	1510	0	1272	166	54	21	352	1355	0	0	0
Limonene and pinene degradation 	297279.83	322156.14	236435.08	323927.54	179431.24	253109	328727.15	148532.47	238654.87	189908.66	214384.88	198561.47	274958.68	343088.98	200008.76	232673.34	281768.63	298320.24	260510.67	279072.73	287517.79	218129.58	131661.42	173335.36	214243.22	296394.48	285298.32	224213.52	128619.85
Linoleic acid metabolism 	4697.12	21006.69	11270.25	13345.8	14936.81	9612.5	12437.86	8844.5	18062.43	4241.75	9569.08	7237	21595.39	15995.92	14797.76	32149.87	6210.45	12233.55	18905.64	15064.53	6255.92	7706.96	15457.96	6613.57	7047.15	9950.53	6827.33	5408.75	11994
Lipid biosynthesis protein	1469497.96	1366501.88	1119474.64	1220977.04	879183.85	1015232.2	1388181.66	645729.54	1207601.1	858701.37	979964.09	699635.87	1001087.7	1197042.89	915426.72	1080936.1	1162289	1205370.92	1293720.39	1114059.86	1268197.85	860899.32	743652.3	858334.51	981815.49	1265714.71	1236813.55	1143739.7	902900.94
Lipid metabolism	17662.25	30174.7	20481.55	27426.28	22698.64	36307.98	30552.11	15719.79	21799.68	26698.49	25146.75	27436.58	29354.85	50669.62	26022.99	29015.54	20660.39	25722.49	22279.29	32036.46	23115.56	24074.29	20501.81	11546.34	15303.84	22236.28	28111.27	13163.62	10869.5
Lipoarabinomannan (LAM) biosynthesis 	60538.67	28340.47	44520.25	116828.61	34999.75	56347.11	49807.09	24826.56	37258.7	30701.44	44401.75	49315.83	91000.69	103531	25063.75	38325.51	41732.5	76795.26	30889.29	91695.65	43704.92	25124.75	7709.49	45208.56	22529.66	87117.2	41471.75	38568	13700.67
Lipoic acid metabolism 	117336.09	79514.68	70720.61	69364.03	67964.01	60849.13	86396.45	47478.26	100370.73	57159.23	68868.13	39876.17	62435.88	64546.66	68446.95	72370.92	71351.78	67472.23	91097.43	47192.95	75166.39	54730.57	66840.08	64540	65170.55	81736.91	83593.32	88755.1	104392.01
Lipopolysaccharide biosynthesis 	419238.84	732746.11	401851.18	385599.73	422330.52	460788.38	572429.38	371331.65	559548.81	464462.13	393630.74	298117.06	330002.46	420624.84	468269.01	489491.96	402999.91	345575.32	601820.16	198921.81	456963.92	359896.93	594467.22	384054.99	407625.05	346616.41	487601.41	329261.41	381214.03
Lipopolysaccharide biosynthesis protein	536166.49	974359.9	476001.25	441337.83	504959.89	524891.04	644095.53	454347.12	679161.95	524541.98	474052.19	353070.72	396810.45	485261.9	582057.87	600191.27	469935.21	403908.85	715181.84	252549.57	508991.16	420500.09	764067.9	438797.07	448401.02	428062.78	563562.25	391252.08	482594.2
Long-term potentiation 	0	10	0	221	90	0	0	0	0	0	37	0	0	38	182	0	58	452	0	0	0	166	0	0	0	3847	0	0	0
Longevity regulating pathway - multiple species 	250810.98	229572.51	204699.28	198871	150852.57	161496.33	232072.44	113212.76	222759.69	130943.63	160520.75	118813.24	181057.27	197703.3	158568.85	232219.26	209419.01	214648.96	226208.56	131736.21	249865.12	173438.44	143800.02	130382.98	173767.8	231946.6	201592.58	173950.06	149240.34
Longevity regulating pathway - worm 	518567.76	559819.05	454402.37	376550.45	333848.08	385491.07	559923.6	265640.5	483191.45	362086.82	355120.12	248484.14	344938.62	379802.27	378775.66	492396.32	486880.25	447972.87	491214.62	350214.4	520671.09	371126.71	343456.4	307470.81	392876.86	454179.95	495298.52	379817.47	415546.69
Longevity regulating pathway 	99249.13	127996.64	71880.41	87690.97	72587.36	85597.4	115686.26	60393.23	104076.06	76556.2	77944.05	60969.49	71305.6	90317.51	79247.41	86193.72	95650.42	89298.32	96059.67	63914.88	103753.49	71355.9	89206.93	55844.29	69832.27	97098.1	93434.57	73966.16	87014.67
Lysine biosynthesis 	786963.35	613588.04	558604.84	528198.23	445817.44	487342	660568.03	322872.06	623190.6	441498.79	491527.42	319601.82	448686.62	524931.98	478981.27	540291.24	580012.19	544322.78	623980.81	468467.1	626659.44	460156.52	422512.08	399847.78	476208.87	588154.57	624879.27	620739.73	508034.22
Lysine degradation 	889965.01	899600.4	732738.94	780693.9	503807.73	622590.2	941397.99	409295.97	739751.62	525482.21	600377.04	454962.35	703058.77	720692.22	572338.44	711531.47	789567.2	818915.04	756807.89	751710.13	826485.6	601778.75	430914.93	527243.88	617070.04	828888.92	816221.59	659008.35	496516.38
Lysosome 	76112.71	54371.31	61454.79	14461.22	55796.16	7264.67	68830.78	20232.59	82797.28	4447.25	37176.01	4964.5	64081.63	8257.59	30683.39	98153.67	133386.02	84274.95	75078.97	133626.47	84374.65	45603.96	35094.19	23406.52	44909.05	48092.29	65709.28	36339.85	73868.84
MAPK signaling pathway - fly 	54577.32	54478.69	37039.34	36533.92	32469.68	37072.79	41121.99	24079.08	48625.25	36211.73	35331.87	24229.58	30065.85	36070.82	30716.38	31862.06	43110.09	39726.19	46816.42	26202.63	45860.27	45175.54	37233.45	34656.45	36502.28	36258.8	42828.7	43058.32	33985.67
MAPK signaling pathway - plant 	164311.29	170159.46	110581.21	130504.86	101864.36	96932.57	162794.17	73858.57	154603.48	83492.95	109131.36	69246.91	97534.8	110324.43	107420.9	122020.54	121071.31	119934.79	149624.1	100928.17	138400.15	91925.41	109515.65	74912.52	102817.3	167412.45	130990.34	130401.92	131365.01
MAPK signaling pathway - yeast 	44671.81	73522.95	34841.07	51157.05	40117.68	48524.61	74564.27	36314.15	55450.81	40344.47	42612.18	36739.91	41239.75	54246.69	48531.03	54331.66	52540.33	49572.13	49243.25	37712.25	57893.22	26180.36	51973.48	21187.84	33329.99	60839.3	50605.87	30907.84	53029
MAPK signaling pathway 	0	5	266	0	0	0	0	0	452	0	0	0	190	0	0	0	168	0	133	0	0	0	0	0	0	0	0	0	460
Malaria 	0	15	0	0	0	0	0	0	0	0	0	0	25	0	0	248	0	0	315	1746	0	58	0	755.34	0	439	88	2305	0
Mannose type O-glycan biosynthesis 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0
Measles 	48071.34	77253.53	79133.58	24862.07	29602.22	20160.82	59188.32	20983.97	51681.85	21892.74	30578	15347.58	34168.19	19445.7	26341.74	89415.46	77849.18	61753.96	65325.24	32597.32	81778.53	65464.57	16236.42	28849.6	57170.76	50864.18	60027.57	34726.1	37571
Meiosis - yeast 	86217.11	36932.03	83269.43	60202.67	31973.45	29392.67	54080.99	20671.67	62675.3	15587.5	35646.67	25436.5	66217.26	53552	33275.08	103763.46	65360.86	74141.66	70735.15	36182.41	94525.71	62241.88	13405.12	34938.77	56391.88	83016.03	51104.13	50663.23	27231.5
Melanogenesis 	890.4	1449.4	1993.5	578	409.5	34	327.17	523.5	575	0	415	76	807.33	38	343	2739.73	2162.9	2339.6	375.33	9683.83	600.5	1065.27	3244.6	325	565.5	4200.17	277	797.5	24.5
Membrane traffickin	297750.54	289987.22	233181.46	208333.17	181829.87	163308.89	259243.47	118700.95	267830.39	139253.44	193340.29	112787.5	210540.35	196591.39	172082.95	238860.15	252605.94	252283.76	274101.76	258709.43	242134.87	181666.97	171146.64	194662.32	193778.36	278024.43	229865.95	247989.62	204307.86
Messenger RNA biogenesi	976384.49	837255.08	637863.16	564994.01	578330.92	458339.51	776255.99	379161.85	821527.52	422796.51	616771.53	315804.33	549667.89	503694.47	587652.93	621082.88	641757.58	634094.98	793189.2	501599.74	703602.12	483861.5	581902.52	621300.93	584768.09	717740.97	731661.08	788057.29	644560.06
Metabolism of xenobiotics by cytochrome P450 	270854.97	422703.45	308653.09	253336.49	204916.89	250231.41	389882.96	180821.95	293221.81	232318.94	209632.43	176290.15	226179.59	252742.39	252365.51	352553.27	336866.85	308880.79	309337.55	240242.94	362055.26	266807.41	216013.34	182525.28	267263.23	272667.19	340199.29	181826.18	244692.67
Methane metabolism 	1204917.81	1120022.86	948626.78	917882.49	751493.45	851487.2	1331507.21	554794.51	1073438.67	703801.75	867516.69	563872.01	826695.28	952801.49	870528.38	938477.02	998894.53	988226.45	1093337.19	885442.46	1067924.62	704603.83	694835.16	717056.56	810441.42	1098182.96	1030710.81	938158.73	759109.28
MicroRNAs in cancer 	36528.69	152152.12	51575.54	34061.58	31458.48	33701	50320.28	26789.51	57627.55	28164.03	35221.8	25548.83	55844.21	38115.53	37656.42	49665.31	65187.67	48934.6	53038.74	69657.69	50674.07	45502.86	47104.3	24973.21	24653.27	56226.45	35848.5	23606.79	33505.5
Mineral absorption 	80448.13	85664.89	56461.92	63901.18	45555.54	43284.13	75185.64	32461.59	75435.82	39142.23	48375.32	30442.33	40912.4	48229.32	45380.31	60728.61	48945.75	49967.86	70628.88	56548.32	55758.72	66058.33	49439.43	30354.89	48344.25	76360.24	65848.75	67272.78	70741.51
Mismatch repair 	859991.12	766364.75	608709.41	523389.89	515556.38	458830.64	709388.03	355543.97	750368.7	416126.6	554026.43	307610.25	491961.82	489904.78	525514.68	561508.2	632877.57	602669.41	735502.13	435840.99	673594.78	491239.82	540796.05	511816.35	529352.93	683393.87	648837.34	693351.14	607274.06
Mitochondrial biogenesi	1928210.07	1442430.41	1350988.51	1153202.15	1055089.92	977611.82	1516506.83	693044.32	1562757.77	901384.65	1165266.66	644089.81	1044595.92	1049008.52	1027791.47	1250877.66	1392059.6	1311699.34	1557952.69	989678.05	1512680.24	1001463.54	906299.08	1101157.22	1204849.06	1491271.49	1465095.76	1546555.43	1227493.12
Mitophagy - animal 	165	14	36.5	0	16	0	1553	0	809	677	0	0	4	0	0	0	83	0	463	0	0	0	226	0	0	418	1328	0	48
Monobactam biosynthesis 	440961.81	358397.37	345621.85	327062.16	274581.77	307237.07	390079.37	205894.24	379160.35	272046.01	293353.23	204537.41	278396.43	349247.66	297604.33	303940.89	350815.59	343035.66	374786.68	311189.81	385471.42	292042.59	267190.44	244813.96	281278.73	382423.89	391113.56	337800.54	270510.35
Monoterpenoid biosynthesis 	0	57	507	0	15	0	7	0	0	0	36	0	104	0	0	217	0	0	0	0	75	0	0	0	122	90	334	0	0
Morphine addiction 	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N-Glycan biosynthesis 	63434.55	16856.26	33084.93	20498.25	26522.71	5490.5	30246.02	7530.61	43140.51	4621	28492.68	4742.5	23262.37	9813	21529.63	27884.6	32373.02	30439.45	39954.33	39612.83	37231.01	10231.15	9657.4	18034.93	30545.83	44737.18	34740.09	43635.42	30291.34
NF-kappa B signaling pathway 	3756	0	111	96	0	0	694	236	531	0	0	0	9751	80	0	29	4162	1707	1457	0	1272	166	54	21	352	1355	0	0	0
NOD-like receptor signaling pathway 	153348.62	144681.99	118721.4	105028.67	87850.94	108734.48	132525.01	68398.78	137631.99	102177.77	100674.17	71529.08	98301.68	102949.58	94910.77	136271.27	139497.33	125702.88	129325.56	106852.58	140055.09	112867.32	94742.82	101202.99	96372.47	116848.4	132999.21	108690.71	104363.51
Naphthalene degradation 	131904.96	190253.57	142458.03	172925.13	94551.97	158307.45	170191.19	87500.2	126597.85	142924.97	104066.06	112481.33	109453.35	174217.03	94765.32	162885.19	154077.89	172378.28	141220.33	174048.23	162427.08	135823.15	81877.46	100765.34	117963.92	154715.33	166278.87	103697.29	97987.67
Natural killer cell mediated cytotoxicity 	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Necroptosis 	238326.49	316455.8	209606.47	176691.54	144297.07	127183.6	222923.07	105348.79	217237.84	109644.57	163448.4	93076.49	162204.54	149398.64	151875.99	182591.63	212047.75	198506.53	221360.39	190753.44	213357.19	163923.88	169858.74	145023.44	149075.14	220067.8	208267.63	188992.97	137289.53
Neomycin	96902.25	54945.79	62995.22	30047.53	44108.79	13361.98	60092.06	17968.46	70111.54	11266.99	48305.03	11722.75	42421.59	20629.62	38756.4	70803.42	65148.18	62275.08	69321.67	61828.62	62215.71	32835.81	30010.15	44579.02	47776.19	66743.16	63646.03	75088.28	62138.52
Neuroactive ligand-receptor interaction 	16.2	14.2	721.75	178.5	0	0	127.75	0	0	0	0	0	0	0	0	5.2	15.2	31.8	83.5	0	280.25	288.8	29.8	59	0	24	0	144.25	0
Neurotrophin signaling pathway 	0	15	0	221	90	0	0	0	0	0	37	0	0	38	182	0	58	452	0	0	0	166	0	0	0	3847	0	0	0
Nicotinate and nicotinamide metabolism 	889831.5	802002.81	691546.57	636268.55	545120.99	574717.53	857697.87	430203.66	791111.36	526509.07	601861.74	397629.96	607154.8	591123.83	603002.94	598667.35	699223.55	649853.22	775529.5	516920.75	783568.63	557672.05	560000.34	534396.6	597971.39	721102.22	771307.46	712277.93	602622.88
Nicotine addiction 	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nitrogen metabolism 	622064.06	972123.42	617374.02	690459.28	436863.69	612587.78	747501.1	391545.32	668764.69	556724.12	470211.01	402567.87	546115.3	638755.04	473112.52	752502	634165.72	616368.53	685628.27	477028.33	650503.01	550172.19	474331.86	393686.66	466631.09	715610.22	642969.96	459503.04	469943.37
Nitrotoluene degradation 	36908.25	89224.35	42834.49	42970.78	34070.26	46695.97	56161.82	30658.11	49051.17	42813.73	33603.97	36413.42	40507.6	53546.66	40597.37	76801.95	53209.31	48427.07	56011.14	71986.62	43735.98	56340.66	56201.49	21575.15	36740.67	38173.06	52166.53	29195.84	28624.34
Non-alcoholic fatty liver disease 	116436.5	165017.89	147248.56	73826.76	75402.06	69830.26	142671.06	53061.85	112309.35	73149.46	73269.75	48582.82	78779.05	61857.3	79053.68	165331.59	151589.58	121455.79	124052.95	66147.61	158932.8	124564.79	52177.14	88718.48	123843.56	97799.11	133509.72	84392.64	95952
Non-homologous end-joining 	87339.66	79735.52	95169.14	52111.09	49984.49	47726.34	90065.4	27286.57	82513.65	39147	56998.84	34656	60785.83	58026	44216.76	76222.7	95991.37	87219.14	86140.49	72201.13	103321.74	75633.88	31668.07	49626.41	69003.74	100243.17	87768.16	75571.45	71547
Non-small cell lung cancer 	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nonribosomal peptide structures 	18496.41	36195.75	15516.16	20476.51	13187.82	29633.34	30429.08	19687.46	17057.7	30040.5	15074.09	16197.5	20367.61	24382	22539.29	7325.62	26075.74	15669.11	17416.19	12995.7	22533.2	19093.81	23201.58	8217.96	15060.29	14642.84	23048.07	6044.18	17998.5
Notch signaling pathway 	47	0	0	237	0	276.5	76	0	543	183.5	7	105	152	0	169	53	0	930.5	154	0	40	0	0	10	51.5	154	14	0	736
Novobiocin biosynthesis 	183260.51	161298.07	163385.51	154097.9	125931.7	150297.87	185879.32	97322.85	159017.87	141297.15	136511.01	93905.16	126078.28	159061.23	136102.2	141958.9	169415.34	153446.55	164803.58	123109.05	174905.97	137562.87	119460.61	126004.9	128280.19	162932.29	171819.4	144335.59	120140.51
Nucleotide excision repair 	500671.59	389062.71	331429.39	305663.42	271278.7	255298.86	412602.46	178051.92	400284.55	224233.42	319808.63	173410.58	283555.02	282879.63	278122.14	313937.48	336491	334749.12	377468.3	276237.35	361344.44	251349.57	230822.64	273997.66	284964.64	409714.4	363065.67	391090.89	331430.19
Nucleotide metabolism	2609.13	4128.45	3364.17	10204.8	5196.11	5869	3401.61	6007	4674.43	3036.25	3580.58	4545	7955.1	9478.92	6348.76	3928.34	2533.5	4457.91	5757.61	2110.87	3779	9310.5	9243	1450.83	1482.07	5262.36	2743.25	689.67	1663.5
O-Antigen nucleotide sugar biosynthesis 	877330.46	649979.19	656693.73	545399.03	492289.91	491783.88	756063.71	350517.21	757761.38	449052.93	558978.79	346418.76	520296.05	516688.07	531671.34	629943.39	685253.63	625616.46	749609.32	483724.68	743164.76	479195.19	452998.45	470361.86	525986.67	664268.35	732735.37	675253.73	573224.2
Olfactory transduction 	0	10	0	221	90	0	0	0	0	0	50	0	0	38	182	0	58	452	0	0	0	166	0	0	0	3847	0	0	0
One carbon pool by folate 	630457.66	556692.82	490575.83	397889.14	381163.45	343837.99	562199.64	258618.53	572119.08	314262.83	415928.56	232998.32	379667.39	368031.36	383801.55	405046.83	497633.59	461292.88	550269.31	376337.49	522334.95	389042.22	384861	395040.42	416013.26	527665.15	502632.19	520097.04	439664.03
Oocyte meiosis 	0	10	0	221	90	0	0	0	0	0	37	0	0	38	182	0	58	452	0	0	0	166	0	0	0	3847	0	0	0
Osteoclast differentiation 	0	12796	0	0	0	0	0	0	0	0	27	0	0	0	0	72	0	96	0	0	0	430	0	645	0	214	63	340	37
Other glycan degradation 	112127.06	54047.47	87750.54	23849.85	84042.02	10841.67	93291.81	30029.59	123475.51	7678	50008.93	6873.67	96308.45	12242.34	43354.23	192642.21	201003.45	117936.35	117277.21	200215.81	118093.4	53720.06	57164.56	29926.18	61300.76	72128.71	91665.64	42914.93	111047.01
Other types of O-glycan biosynthesis 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	33	0	0	0
Others	446746.91	699301.89	454608.72	382802.92	345361.8	365578.6	546985.12	278336.99	480853.4	339724.9	344096.87	248029.98	334998.25	367563.09	396034.91	476927.12	442447	399592.76	485610.55	331540.36	473720.08	406617.79	404402.86	302845.38	348094.19	401714.44	490087.88	341391.84	374563.36
Ovarian steroidogenesis 	3756	0	111	96	0	0	694	236	531	0	0	0	9751	80	0	29	4162	1707	1457	0	1272	166	54	21	352	1355	0	0	0
